Iin1 ,leafValue( Iin1 "Design_Point" 1 ) (A)
1.000E-9,999.8E-12
1.100E-9,1.100E-9
1.200E-9,1.200E-9
1.300E-9,1.300E-9
1.400E-9,1.400E-9
1.500E-9,1.500E-9
1.600E-9,1.600E-9
1.700E-9,1.700E-9
1.800E-9,1.800E-9
1.900E-9,1.900E-9
2.000E-9,2.000E-9
2.100E-9,2.100E-9
2.200E-9,2.200E-9
2.300E-9,2.300E-9
2.400E-9,2.400E-9
2.500E-9,2.500E-9
2.600E-9,2.600E-9
2.700E-9,2.700E-9
2.800E-9,2.800E-9
2.900E-9,2.900E-9
3.000E-9,3.000E-9
3.100E-9,3.100E-9
3.200E-9,3.200E-9
3.300E-9,3.300E-9
3.400E-9,3.400E-9
3.500E-9,3.500E-9
3.600E-9,3.600E-9
3.700E-9,3.700E-9
3.800E-9,3.800E-9
3.900E-9,3.900E-9
4.000E-9,4.000E-9
4.100E-9,4.100E-9
4.200E-9,4.200E-9
4.300E-9,4.300E-9
4.400E-9,4.400E-9
4.500E-9,4.500E-9
4.600E-9,4.600E-9
4.700E-9,4.700E-9
4.800E-9,4.800E-9
4.900E-9,4.900E-9
5.000E-9,5.000E-9
5.100E-9,5.100E-9
5.200E-9,5.200E-9
5.300E-9,5.300E-9
5.400E-9,5.400E-9
5.500E-9,5.500E-9
5.600E-9,5.600E-9
5.700E-9,5.700E-9
5.800E-9,5.800E-9
5.900E-9,5.900E-9
6.000E-9,6.000E-9
6.100E-9,6.100E-9
6.200E-9,6.200E-9
6.300E-9,6.300E-9
6.400E-9,6.400E-9
6.500E-9,6.500E-9
6.600E-9,6.600E-9
6.700E-9,6.700E-9
6.800E-9,6.800E-9
6.900E-9,6.900E-9
7.000E-9,7.000E-9
7.100E-9,7.100E-9
7.200E-9,7.200E-9
7.300E-9,7.300E-9
7.400E-9,7.400E-9
7.500E-9,7.500E-9
7.600E-9,7.600E-9
7.700E-9,7.700E-9
7.800E-9,7.800E-9
7.900E-9,7.900E-9
8.000E-9,8.000E-9
8.100E-9,8.100E-9
8.200E-9,8.200E-9
8.300E-9,8.300E-9
8.400E-9,8.400E-9
8.500E-9,8.500E-9
8.600E-9,8.600E-9
8.700E-9,8.700E-9
8.800E-9,8.800E-9
8.900E-9,8.900E-9
9.000E-9,9.000E-9
9.100E-9,9.100E-9
9.200E-9,9.200E-9
9.300E-9,9.300E-9
9.400E-9,9.400E-9
9.500E-9,9.500E-9
9.600E-9,9.600E-9
9.700E-9,9.700E-9
9.800E-9,9.800E-9
9.900E-9,9.900E-9
10.00E-9,10.00E-9
